Unnamed: 0,ID,Name,Age,Email,Join Date,Salary,Department
5,f92ea13f-24d3-4792-91e4-5b0e07d90c2c,Lisa Bailey,81.0,milleryvonne@fowler-york.com,2016-10-15,123018.0,Support
9,d06f507d-62e5-4bd6-a252-4e60e109d324,Jay Fisher,44.0,denisemaynard@jordan.com,,37701.72599250199,HR
10,d5fe9321-49cf-4f14-ac96-7aea1204247b,Craig Conway,88.0,gerald47@woodard-smith.com,,81214.52597186244,Engineering
14,9b83a5e5-9516-493f-86f8-d6c445edb501,Nicole Cardenas,60.0,griffinlinda@harrison.com,2003-10-16,51625.81440265695,Marketing
16,241e20d7-cc36-495e-86c2-2928bbaa93d8,Mark Wilkins,54.0,longjennifer@parker.biz,1991-02-17,85794.0,Sales
21,7aa89cdd-e328-4425-9556-b0b3da9e4f2a,Danny Martinred,64.0,amyclements@lee.biz,,89874.0,HR
23,13b6428a-ba54-4531-87a1-72c3c3ccf765,Laura Davis,60.0,garciaralph@hayes-hernandez.biz,1989-10-06,61209.0,Engineering
29,31f74cb1-8ed7-464a-9014-5b833cf9e5db,Trevor Smith,30.0,robertflowers@diaz.biz,,133390.0,Marketing
42,3a6b1096-f7a7-4901-a31a-9db676895801,Kayla Carpenter,61.0,dcooper@adams.net,,82857.39804033376,Engineering
43,fdffe261-41c3-49bd-8343-c55c22ed6934,Laura Douglas,38.0,rebecca26@long-gray.org,,63299.0,Marketing
49,08a2c469-4d0a-4474-9adc-b080966e2130,Richard Collins,68.0,michaelhernandez@lee.com,,65728.0,Other
51,f9d66dd9-4481-447b-9218-e280165ca091,John Bailey,69.0,robbinsfelicia@nelson.com,,39784.0,Support
57,85fd1b76-fa4c-4b27-916b-69a68efd2f3c,Jason Stephens,54.0,parksandrea@brown.biz,2014-11-19,40452.54850449875,Marketing
59,f006e033-2187-4e91-b7ba-34f5e43c4358,Jessica Evans,86.0,mark30@graham-carter.org,,63661.0,HR
63,6e50ff2b-ee84-4ba1-adc1-88aced745fff,Mrs Sheri Duffyparty,38.0,woodmadison@rice.com,,93430.0,Marketing
71,ca130e73-2fc6-4c24-aaaa-3b08038f2666,Allison Mcknighttrip,90.0,hsmith@munoz-snyder.com,,105919.6580588758,HR
73,1de0420a-7817-4810-824b-86c8d58ef4e0,Richard Estrada,87.0,sharpanthony@lawson.com,2019-05-30,140711.0,HR
74,ee302c6d-5164-4b86-bad1-b9624b44c130,Mr Larry Mcpherson,23.0,austingillespie@gould-chapman.com,1972-05-17,75391.0,HR
77,994122b1-32e0-4220-83bc-d72267847a23,Richard Brown,45.0,erin29@garza.net,1979-04-04,90216.0,Marketing
83,6b64fb02-1d5d-4634-9d1d-d2c718031c33,Jeffrey Crosby,23.0,patricia22@mccann.org,,90766.67155716397,Support
87,3c2bf634-c5ba-49db-af16-632ec072cc63,Tom Wade,71.0,lawrence69@ford-melton.com,,89874.0,Engineering
90,7edc8e0d-ef5f-4bed-88e3-f4c696dc318d,Mrs Betty Robinsonmission,50.0,ecollier@long.com,,145538.0,Support
95,3ea567c5-3cc7-400b-8977-eb15216a8ffd,Keith Powell,64.0,qmarquez@smith.com,,109674.0,Marketing
97,8bfbae3a-81de-4658-9fcf-1522a4ffb162,Steven Kirby,49.0,barkerdavid@watson.org,,63896.10248314508,HR
99,42ac8e8f-3ab9-4e48-b45a-e60b40962f4b,Nicholas May,58.0,morgan64@andersen-smith.com,,110362.0,Marketing
102,4b0d0bbb-734b-411e-8dd8-309fa4950517,Nathan Wong,55.0,richard48@jones-gordon.com,2016-02-07,89874.0,Marketing
108,edb34b86-369f-4cd2-b4c8-dc2c6eb0ffc5,Stacy Cruz,36.0,williampearson@snyder.com,,118523.38027528132,Marketing
109,f0e3f1b7-e05a-405c-9b37-11b60fdf9911,Kevin Fowler,38.0,jroberts@davis.com,,141610.0,HR
110,a27873a7-6815-4b06-848f-acd2f2f7d765,Sydney Cox,29.0,joshua07@santiago-salazar.net,,79981.0,HR
113,dcb5f899-d8cb-4598-a62a-10662b75cec9,Heather Taylor,40.0,michaelmunoz@dyer.org,,36044.61929198683,Engineering
119,b67ab588-f67e-4a4d-9bff-e7405e3e4066,Angela Millerperformance,32.0,osmith@kim.net,,134430.0,Support
132,3b49a4f4-6355-4072-8ccb-c09941effbe1,Michael Allen,57.0,brettrasmussen@powell-jordan.com,,145740.0,HR
138,0a4fa7fe-a16d-4397-8478-1c162693b29c,Michael Weber,72.0,lawrencejames@white-smith.com,,148792.0,Engineering
143,790d5bbb-77e9-4c75-8b62-ba3cf7bd8e6c,Gabrielle Castillo,26.0,danielle27@roy.org,,68942.0,HR
149,61ea6e46-8cff-4847-9334-a3eda91b7fd8,Wendy Schmidt,41.0,sjohnson@chapman.info,,112313.0,Marketing
170,c5fbfd84-8b5a-48e9-a739-8d903ebdd437,Kristen Moyer,52.0,gmartin@valentine.com,2015-08-23,80231.0,HR
173,78aaaf64-9a49-40b1-8968-bba324b58d2a,Alice Medina,46.0,craigfrederick@mitchell-perry.com,2010-04-08,99875.0,Sales
175,9b7f9c12-9dba-40f5-91b4-db145484e8ac,George Fullermission,82.0,stephaniethompson@chavez-alexander.com,,37687.0,Sales
177,bf18d4cc-9c52-41f8-a032-b238c19b189a,Rodney Burns,53.0,millscourtney@reese.com,1971-09-05,140716.0,Sales
179,182b6c7c-2121-428a-87b9-63aac3a123ae,Kimberly Terry,54.0,christopher00@thomas-anderson.com,,111038.0,Engineering
183,15cfc09a-fbc9-46bc-88c0-da599fcfe12e,Donald Patton,46.0,andrea07@collins.net,,125069.0,Marketing
195,70c4681f-68fb-490e-8fc0-4c5237eafd04,Frances Johnson,88.0,fernandezrobert@baker-holt.com,,89874.0,HR
196,dab0a32a-6a5d-4b0d-89ca-a4a20ecf5a8e,Austin Pugh,25.0,pattersonroger@delgado-long.biz,,109974.0,Marketing
